Beads: Bronze, 42 min
Milk2: Bronze, 46 min
Transform: Bronze, 1 hr. 15 min(Initial algorithm was wrong)
NameNum: Bronze, 41 min
PalSquare: Bronze, 24.5 min
DualPal: Bronze, 8 min(very similar to first problem)
Milk: Bronze, 20 min
Barn1: Bronze, 21 min
Crypt1: Bronze, 22.5 min
Combo: Bronze, 50 min
Wormhole: Bronze, > 2.5 hours
SkiDesign: Bronze, 16.5 min
AriProg: Bronze, 50 min
Milk3: Bronze, 1 hr 15 min
NumTri: Bronze, 1 hr 10 min
PPrime: Bronze, 26 min
SPrime: Bronze, 11.5 min
Castle: Silver, > 3 hours (Like srsly what the fuck)
Fract1: Silver, 37 min
Sort3: Silver, 35 min
Holstein: Silver, 1 hr 55 min
Preface: Silver, 45 min
Subset: Silver, 1 hr 2 min (Kinda got a hint?)
RunRound: Silver, 1 hr 40 min
Lamps: Silver, 42 min
